Ticker,Company,Market Cap,Stock Price,% Change,Industry,Volume,PE Ratio,Change 1M
IS7.DE,InTiCa Systems SE,8740720,2,-3.38%,Auto Parts,2062,-2.27,-2.91%
SLSA.DE,Solutiance AG,8673080,1.3,,Electrical Equipment & Parts,10000,65,-3.70%
ABX.DE,Advanced Blockchain AG,8106190,2,0.50%,Software - Application,531,-3.7,27.59%
M3B0.DE,Pyramid AG,7843076,1.34,-1.47%,Asset Management,6,-2.19,-7.38%
PGN.DE,paragon GmbH & Co. KGaA,7807809,1.7,-1.45%,Auto Parts,20,-1.43,-5.68%
VEZ.DE,Planethic Group AG,7802825,3.68,,Packaged Foods,3598,0.32,1.38%
BIG1.DE,Bio-Gate AG,7117642,0.74,2.08%,Medical Instruments & Supplies,0,,13.95%
ULC.DE,UNITEDLABELS Aktiengesellschaft,6791400,0.98,-5.31%,Leisure,382,-19.6,-8.41%
RTC.DE,RealTech AG,6516639,1.22,-3.17%,Information Technology Services,362,218.6,8.04%
RTV.DE,Your Family Entertainment AG,7921156,0.45,3.24%,Entertainment,0,,-21.75%
ITN.DE,Intertainment AG,6518741,0.4,,Entertainment,1433,-13.33,3.90%
14D.DE,tokentus investment AG,6491678,0.77,-2.53%,Asset Management,1000,-5.92,-5.52%
A6T.DE,artec technologies AG,6095148,2.11,-1.40%,Consumer Electronics,98,17.41,3.38%
SPC.DE,Staige One AG,5831827,0.56,,Shell Companies,0,,-2.01%
EFF0.DE,Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG,,2.96,-3.27%,"Investors, not elsewhere classified",26,,3.47%
MA10.DE,Binect AG,4662787,1.45,-0.68%,Software - Application,20242,38.96,3.57%
AMI.DE,medondo holding AG,3735646,0.18,-3.49%,Information Technology Services,21553,-0.94,-36.80%
TTO.DE,TTL Beteiligungs- und Grundbesitz-AG,3860238,0.15,-4.46%,Real Estate Services,2227,-0.2,7.91%
INW.DE,GBS Software AG,6324000,3.72,1.09%,Software - Infrastructure,667,8.86,8.14%
S6P.DE,Spielvereinigung Unterhaching Fußball GmbH & Co. KGaA,6412672,1.6,-5.88%,Leisure,2170,-0.95,-3.03%
